@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
416,'2024/10/30 14:13:13:346',1,441,374,1
417,'2024/10/30 14:13:13:361',1,443,375,1
418,'2024/10/30 14:13:13:378',1,447,377,1
419,'2024/10/30 14:13:13:395',1,451,378,1
420,'2024/10/30 14:13:13:412',1,457,380,1
421,'2024/10/30 14:13:13:428',1,458,381,1
422,'2024/10/30 14:13:13:446',1,468,383,1
423,'2024/10/30 14:13:13:462',1,471,383,1
424,'2024/10/30 14:13:13:478',1,480,383,1
425,'2024/10/30 14:13:13:496',1,484,383,1
426,'2024/10/30 14:13:13:511',1,496,383,1
427,'2024/10/30 14:13:13:528',1,500,383,1
428,'2024/10/30 14:13:13:545',1,505,382,1
429,'2024/10/30 14:13:13:562',1,507,381,1
430,'2024/10/30 14:13:13:579',1,510,380,1
431,'2024/10/30 14:13:13:595',1,515,378,1
432,'2024/10/30 14:13:13:612',1,522,377,1
433,'2024/10/30 14:13:13:628',1,523,377,1
434,'2024/10/30 14:13:13:645',1,531,376,1
435,'2024/10/30 14:13:13:662',1,533,376,1
436,'2024/10/30 14:13:13:679',1,538,377,1
437,'2024/10/30 14:13:13:695',1,546,378,1
438,'2024/10/30 14:13:13:711',1,552,380,1
439,'2024/10/30 14:13:13:728',1,560,381,1
440,'2024/10/30 14:13:13:745',1,565,382,1
441,'2024/10/30 14:13:13:762',1,571,384,1
442,'2024/10/30 14:13:13:779',1,576,386,1
443,'2024/10/30 14:13:13:795',1,579,387,1
444,'2024/10/30 14:13:13:812',1,580,387,1
445,'2024/10/30 14:13:13:828',1,582,387,1
446,'2024/10/30 14:13:13:845',1,583,387,1
447,'2024/10/30 14:13:13:862',1,583,387,1
448,'2024/10/30 14:13:13:879',1,583,387,1
449,'2024/10/30 14:13:13:896',1,583,387,1
450,'2024/10/30 14:13:13:912',1,583,387,1
451,'2024/10/30 14:13:13:928',1,583,387,1
452,'2024/10/30 14:13:13:944',1,583,387,1
453,'2024/10/30 14:13:13:961',1,584,384,1
454,'2024/10/30 14:13:13:978',1,584,383,1
455,'2024/10/30 14:13:13:995',1,586,379,1
456,'2024/10/30 14:13:14:012',1,587,377,1
457,'2024/10/30 14:13:14:030',1,588,370,1
458,'2024/10/30 14:13:14:045',1,588,364,1
459,'2024/10/30 14:13:14:062',1,589,346,1
460,'2024/10/30 14:13:14:078',1,589,343,1
461,'2024/10/30 14:13:14:095',1,588,337,1
462,'2024/10/30 14:13:14:111',1,588,336,1
463,'2024/10/30 14:13:14:129',1,588,333,1
464,'2024/10/30 14:13:14:145',1,587,332,1
465,'2024/10/30 14:13:14:161',1,587,331,1
466,'2024/10/30 14:13:14:178',1,587,330,1
467,'2024/10/30 14:13:14:195',1,586,329,1
468,'2024/10/30 14:13:14:212',1,585,327,1
469,'2024/10/30 14:13:14:229',1,584,324,1
470,'2024/10/30 14:13:14:245',1,583,320,1
471,'2024/10/30 14:13:14:262',1,582,316,1
472,'2024/10/30 14:13:14:278',1,580,302,1
473,'2024/10/30 14:13:14:295',1,579,296,1
474,'2024/10/30 14:13:14:311',1,575,269,1
475,'2024/10/30 14:13:14:328',1,571,249,1
476,'2024/10/30 14:13:14:345',1,566,228,1
477,'2024/10/30 14:13:14:362',1,564,212,1
478,'2024/10/30 14:13:14:378',1,561,194,1
479,'2024/10/30 14:13:14:395',1,561,189,1
480,'2024/10/30 14:13:14:411',1,559,176,1
481,'2024/10/30 14:13:14:428',1,558,160,1
